City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yurimaguas,-5.9,-76.0833,23.88,92,100,1.37,PE,1707794527
1,ilulissat,69.2167,-51.1,-24.99,58,74,1.54,GL,1707794527
2,fortaleza,-3.7227,-38.5247,29.01,83,40,3.6,BR,1707794401
3,georgetown,5.4112,100.3354,30.97,58,20,2.57,MY,1707794528
4,thunder bay,48.4001,-89.3168,-10.01,85,0,1.54,CA,1707794528
5,tsiombe,-25.3,45.4833,23.24,93,97,4.29,MG,1707794528
6,edinburgh of the seven seas,-37.0676,-12.3116,17.28,76,92,6.28,SH,1707794528
7,olonkinbyen,70.9221,-8.7187,-1.7,97,100,9.4,SJ,1707794529
8,el calafate,-50.3408,-72.2768,10.61,61,97,2.09,AR,1707794529
9,aasiaat,68.7098,-52.8699,-26.56,100,56,2.75,GL,1707794529
10,grytviken,-54.2811,-36.5092,4.04,96,100,2.45,GS,1707794529
11,waitangi,-43.9535,-176.5597,17.68,78,32,3.58,NZ,1707794530
12,hithadhoo,-0.6,73.0833,28.09,78,100,7.39,MV,1707794530
13,bethel,41.3712,-73.414,3.2,73,20,0.45,US,1707794530
14,st. john's,47.5649,-52.7093,0.99,93,100,5.14,CA,1707794315
15,seydi,39.4816,62.9137,8.44,57,100,4.08,TM,1707794530
16,hermanus,-34.4187,19.2345,21.0,89,85,2.61,ZA,1707794531
17,enewetak,11.3474,162.3373,26.45,77,95,9.9,MH,1707794531
18,sint-truiden,50.8154,5.184,4.44,91,64,4.13,BE,1707794531
19,northam,51.0333,-4.2167,6.33,82,98,5.04,GB,1707794531
20,fale old settlement,-9.3852,-171.2468,27.57,86,100,10.17,TK,1707794532
21,acajutla,13.5928,-89.8275,25.66,75,17,1.76,SV,1707794532
22,west island,-12.1568,96.8225,29.99,70,40,5.14,CC,1707794532
23,malanje,-9.5402,16.341,18.27,95,100,0.93,AO,1707794532
24,fort bragg,35.139,-79.006,15.46,94,100,3.6,US,1707794533
25,udachny,66.4167,112.4,-32.21,95,100,4.22,RU,1707794533
26,adamstown,-25.066,-130.1015,25.0,90,100,6.54,PN,1707794533
27,san pedro pochutla,15.7333,-96.4667,23.27,80,1,1.67,MX,1707794526
28,badger,64.8,-147.5333,-5.91,88,75,3.6,US,1707794534
29,anadyr,64.75,177.4833,-29.72,74,0,5.0,RU,1707794534
30,onega,63.9061,38.1404,-25.48,100,12,1.25,RU,1707794534
31,thompson,55.7435,-97.8558,-8.91,86,100,2.06,CA,1707794241
32,hilo,19.7297,-155.09,25.16,81,100,1.54,US,1707794534
33,blackmans bay,-43.0167,147.3167,21.52,64,47,0.45,AU,1707794535
34,longyearbyen,78.2186,15.6401,-11.09,79,0,0.51,SJ,1707794534
35,margate,51.3813,1.3862,5.94,85,100,1.79,GB,1707794535
36,weno,7.4515,151.8468,29.97,66,40,6.69,FM,1707794535
37,port-aux-francais,-49.35,70.2167,7.32,95,100,12.99,TF,1707794536
38,dzhalagash,45.0833,64.6667,-2.53,63,45,2.95,KZ,1707794536
39,gualaceo,-2.9,-78.7833,17.81,99,100,0.49,EC,1707794537
40,vadso,70.0744,29.7487,-8.91,86,75,5.14,NO,1707794537
41,fayzabad,37.1166,70.58,2.6,49,97,3.27,AF,1707794538
42,monchegorsk,67.9397,32.8739,-23.75,99,45,2.18,RU,1707794538
43,puerto natales,-51.7236,-72.4875,7.76,84,99,2.04,CL,1707794538
44,heishan,41.6892,122.1128,7.64,57,0,6.35,CN,1707794538
45,constantia,44.1833,28.65,4.38,81,100,2.66,RO,1707794539
46,praia da vitoria,38.7333,-27.0667,17.09,82,20,12.6,PT,1707794539
47,yanam,16.7333,82.2167,25.65,61,72,2.7,IN,1707794540
48,tazovsky,67.4667,78.7,-39.75,100,33,1.28,RU,1707794543
49,mitu,1.1983,-70.1733,23.24,96,92,0.9,CO,1707794545
50,bilibino,68.0546,166.4372,-34.46,97,90,0.31,RU,1707794546
51,port elizabeth,-33.918,25.5701,20.16,91,20,9.77,ZA,1707794547
52,talnakh,69.4865,88.3972,-36.2,88,23,1.74,RU,1707794547
53,puerto ayora,-0.7393,-90.3518,26.97,96,55,1.34,EC,1707794548
54,yellowknife,62.456,-114.3525,-10.71,85,100,0.0,CA,1707794548
55,papatowai,-46.5619,169.4708,20.21,52,80,0.51,NZ,1707794549
56,codrington,-38.2667,141.9667,27.29,39,24,9.7,AU,1707794550
57,tura,25.5198,90.2201,23.01,21,35,0.77,IN,1707794550
58,nemuro,43.3236,145.575,2.55,78,6,7.32,JP,1707794550
59,haiku-pauwela,20.9219,-156.3051,26.01,68,20,4.63,US,1707794551
60,cidreira,-30.1811,-50.2056,23.18,93,100,3.6,BR,1707794551
61,stanley,54.868,-1.6985,4.01,85,40,8.75,GB,1707794551
62,punta arenas,-53.15,-70.9167,12.06,54,100,8.75,CL,1707794546
63,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,72,20,3.13,RU,1707794552
64,mount isa,-20.7333,139.5,33.87,52,75,4.12,AU,1707794552
65,mpika,-11.8343,31.4529,16.74,99,100,2.11,ZM,1707794552
